branch                                    tree-identical  differing-paths
cc-01-amendment-a1                         no              backend/globalstrat/settings.py 
cc-02-decision-taxonomy                    no              backend/globalstrat/settings.py 
cc-03-engine-logic                         no              backend/globalstrat/settings.py 
cc-03.5-determinism-and-notification       no              backend/globalstrat/settings.py 
cc-04-amendment-a1                         no              backend/globalstrat/settings.py 
cc-04-data-model                           no              backend/globalstrat/settings.py 
cc-05-fork-audit                           no              backend/globalstrat/settings.py 
cc-06-pedagogical-design-note              no              backend/globalstrat/settings.py 
cc-07-fork-and-clean                       no              backend/globalstrat/settings.py 
cc-08-scenario-seed-data                   no              backend/globalstrat/settings.py 
cc-09-decision-api-hardening               no              backend/globalstrat/settings.py 
cc-10-frontend-sourcing-suppliers          no              backend/globalstrat/settings.py 
cc-11-gate-check                           no              backend/globalstrat/settings.py 
cc-12-frontend-logistics-distribution      no              backend/globalstrat/settings.py 
cc-13-frontend-trade-finance-fx            no              backend/globalstrat/settings.py 
cc-14-frontend-inventory-resilience        no              backend/globalstrat/settings.py 
cc-15-supply-chain-dashboard               no              backend/globalstrat/settings.py 
cc-22-e2e-supply-chain-simulation-test     no              backend/globalstrat/settings.py 
cc-23A-gscm-operational-state-surfaces     no              backend/globalstrat/settings.py 
crv2-01-deterministic-reconstruction       no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
crv2-02-operator-concurrency               no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
crv2-02-rework                             no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
crv2-03-durable-narratives                 no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
crv2-04-audit-integrity                    no              backend/globalstrat/settings.py handoff_readiness_v2/audit_integrity_evidence.py handoff_readiness_v2/audit_truncate_rework_evidence.py rework/REWORK_SPEC_2026-07-13.md 
crv2-05-frontend-toolchain                 no              backend/globalstrat/settings.py handoff_readiness_v2/audit_integrity_evidence.py handoff_readiness_v2/audit_truncate_rework_evidence.py rework/REWORK_SPEC_2026-07-13.md 
crv2-06-adversarial-balance                no              backend/globalstrat/settings.py handoff_readiness_v2/audit_integrity_evidence.py handoff_readiness_v2/audit_truncate_rework_evidence.py handoff_readiness_v2/evidence/adversarial-balance/harness/inventory_run.py handoff_readiness_v2/evidence/load-failure/harness/driver.py handoff_readiness_v2/evidence/load-failure/harness/failure_walkthrough_body.py handoff_readiness_v2/evidence/load-failure/harness/failure_walkthrough_run.py handoff_readiness_v2/evidence/load-failure/harness/stack.py handoff_readiness_v2/evidence/post-close-disputes/harness/start_stack.py rework/REWORK_SPEC_2026-07-13.md 
crv2-10-13-rules-and-calibration-specs     yes             -
deploy-plus-live-readiness                 no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
fix-advance-round-lock-guard               no              backend/globalstrat/settings.py 
gap-closure-sc-layer                       no              backend/globalstrat/settings.py 
gsp-r1-01-student-routing                  no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
gsp-r1-03-instructor-control               no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
gsp-r1-04-finance-budget                   no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
gsp-r1-05-rd-submit-guidance               no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
gsp-r1-06-guided-navigation                no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
gsp-r1-07-instructor-monitoring            no              backend/globalstrat/settings.py rework/REWORK_SPEC_2026-07-13.md 
main                                       no              backend/globalstrat/settings.py handoff_readiness_v2/audit_integrity_evidence.py handoff_readiness_v2/audit_truncate_rework_evidence.py rework/REWORK_SPEC_2026-07-13.md 
specs-foundation-tracking                  no              backend/globalstrat/settings.py 
ux-sc-redesign                             no              backend/globalstrat/settings.py 
worktree-agent-aa23a70e43fabef2c           no              backend/globalstrat/settings.py handoff_readiness_v2/audit_integrity_evidence.py handoff_readiness_v2/audit_truncate_rework_evidence.py handoff_readiness_v2/evidence/adversarial-balance/harness/inventory_run.py handoff_readiness_v2/evidence/decision-rules/harness/stack.py handoff_readiness_v2/evidence/load-failure/harness/driver.py handoff_readiness_v2/evidence/load-failure/harness/failure_walkthrough_body.py handoff_readiness_v2/evidence/load-failure/harness/failure_walkthrough_run.py handoff_readiness_v2/evidence/load-failure/harness/stack.py handoff_readiness_v2/evidence/post-close-disputes/harness/ownership_scan.py handoff_readiness_v2/evidence/post-close-disputes/harness/start_stack.py rework/REWORK_SPEC_2026-07-13.md 
