Stage 3B transition check — was there ever a commit with no route to a better product?

COMMIT      UPGRADE PATH              RE-BASE ROUTE             VERDICT
eae18e5     present                   present                   ok
b9e1282     present                   present                   ok
f203553     present                   present                   ok
5873695     present                   present                   ok
9a9c2b5     present                   present                   ok
a4479cb     present                   present                   ok
b309de0     present                   present                   ok
29c636d     present                   present                   ok
17db889     present                   present                   ok
f4dadf8     present                   present                   ok
665f485     present                   present                   ok
088ce08     present                   present                   ok

working tree (Stage 3B applied, uncommitted):
WORKTREE    retired                   present                   ok — re-base is the route
